Date,Open,High,Low,Close,Adj Close,Volume
29-01-2015,533.799988,537.337524,532.0625,535.724976,447.274323,632020
30-01-2015,538,540.900024,531.599976,535.6875,447.243011,967412
02-02-2015,535,537.799988,531.912476,533.587524,445.489777,257932
03-02-2015,535,535,525.762512,530.087524,442.567749,294284
04-02-2015,532,537.375,532,535.512512,447.096924,218144
05-02-2015,536,555,536,548.400024,457.856659,717092
06-02-2015,548.25,561.6875,548.099976,557.337524,465.318573,485972
09-02-2015,557.337524,563.75,551.599976,562.549988,469.670471,643628
10-02-2015,561.224976,574.349976,556.25,570.075012,475.953125,566624
11-02-2015,568.75,573.75,564.5625,571.799988,477.393219,242252
12-02-2015,570,580.712524,568.75,578.862488,483.289673,319064
13-02-2015,577.75,581.224976,571.737488,574.099976,479.313538,438924
16-02-2015,570.25,576.462524,566.5,569.625,475.577332,342164
18-02-2015,571,576.25,565.275024,573.9375,479.177917,279536
19-02-2015,576,583.474976,573,581.650024,485.617004,343340
20-02-2015,581,583.799988,569.25,571.075012,476.787994,318868
23-02-2015,575.987488,577.75,563.3125,567.674988,473.949249,303804
24-02-2015,569.012512,573.75,564.5,569.537476,475.504242,209004
25-02-2015,572.5,583,569.587524,579.512512,483.832397,647980
26-02-2015,578.724976,578.724976,562.5,564.875,471.611633,279380
27-02-2015,566.8125,570.212524,564.5,566.587524,473.041351,202884
02-03-2015,575,577,569.599976,572.862488,478.280304,154484
03-03-2015,572.75,577.25,569.862488,574.337524,479.51181,159124
04-03-2015,574.75,578.375,563.087524,568.150024,474.345795,285720
05-03-2015,567.099976,574.349976,559,562.924988,469.983582,250636
09-03-2015,563.75,564,544.799988,547.637512,457.220123,485852
10-03-2015,550,551.75,540.825012,550.025024,459.213287,361360
11-03-2015,547.5,560,543.150024,545.900024,455.769501,508292
12-03-2015,546.224976,556.587524,544.375,554.450012,462.907806,345048
13-03-2015,556.525024,557.200012,548.599976,554.112488,462.625977,222656
16-03-2015,552.5,570.5,552.5,566.75,473.177002,308668
17-03-2015,565.049988,569.625,554.549988,560.487488,467.948486,339516
18-03-2015,562.5,565.1875,555,557.549988,465.495911,166284
19-03-2015,556.75,561.037476,556.049988,557.474976,465.43335,2042832
20-03-2015,558.25,567.375,558.25,564.737488,471.496796,314824
23-03-2015,563,568.75,556.712524,558.099976,465.955139,1441392
24-03-2015,557.5,563,551.5625,553.025024,461.718048,218904
25-03-2015,554.325012,556.924988,550,554.424988,462.886932,292948
26-03-2015,553,553.375,532.5,536.112488,447.59787,452640
27-03-2015,541,556.25,540,550.487488,459.599487,323088
30-03-2015,553.5,561.012512,548.862488,557.450012,465.412476,231928
31-03-2015,560.900024,568,551.212524,554.150024,462.657379,306176
01-04-2015,552.349976,552.349976,540,543.0625,453.400421,632492
06-04-2015,544.5,546.25,540.5,544.299988,454.433502,232236
07-04-2015,545,545.987488,535.450012,540.3125,451.104553,280228
08-04-2015,543.875,551.712524,543.5,550.200012,459.359558,159196
09-04-2015,552.5,554.099976,546.75,552.849976,461.571899,136140
10-04-2015,552.5,559.75,552.5,558.325012,466.143005,185700
13-04-2015,558.75,561,554.400024,559.75,467.332703,135516
15-04-2015,559.724976,560.724976,548.875,553.299988,461.947723,176820
16-04-2015,553.75,557.5,539.0625,547.775024,457.334869,297960
17-04-2015,547,548.75,538.362488,545.487488,455.425049,130396
20-04-2015,545.25,546,529.3125,533.3125,445.260101,3215856
21-04-2015,534.5,538.112488,529.950012,536.099976,447.587433,663064
22-04-2015,536.537476,543.75,525.0625,534.612488,446.34552,316724
23-04-2015,536.325012,536.325012,528.125,530.637512,443.026855,426100
24-04-2015,532.75,537.5,495.5,499.0625,416.66507,6084388
27-04-2015,500.25,502.5,487.5,496.5,414.525635,1370688
28-04-2015,497,497,488.25,490.337494,409.380585,980736
29-04-2015,491.25,493,484.637512,490.399994,409.432678,628316
30-04-2015,490,490.037506,483.162506,485.600006,405.425232,1399832
04-05-2015,490.25,499.75,487.5,498.575012,416.258057,416200
05-05-2015,500,501.25,488.75,491.6875,410.507629,961820
06-05-2015,494.75,495,479.375,480.625,401.271637,1707676
07-05-2015,482.200012,491.75,477.774994,485.700012,405.508698,512064
08-05-2015,490.975006,492.149994,486.450012,489.5,408.681366,272568
11-05-2015,491.274994,500,488.5,498,415.777954,485328
12-05-2015,499.725006,499.725006,485.3125,487.399994,406.92804,733656
13-05-2015,488.5,491.25,483.149994,488.987488,408.25351,6706668
14-05-2015,490,490,477.5,483.637512,403.786774,530492
15-05-2015,483.774994,491.25,483.75,489.9375,409.046661,340672
18-05-2015,491.049988,499.5,490.512512,497.9375,415.725769,468984
19-05-2015,497.25,508.174988,496.100006,504.537506,421.236145,369580
20-05-2015,508.387512,512.75,508.387512,511.174988,426.77771,272572
21-05-2015,512.25,515.25,508.75,510.837494,426.495911,216492
22-05-2015,511.25,512.349976,507.512512,510.450012,426.172394,689148
25-05-2015,512.5,514.224976,501.75,504.5,421.204773,336528
26-05-2015,505.25,507.762512,500.125,502.325012,419.388855,478896
27-05-2015,503.75,503.75,488.4375,492.262512,410.987701,551252
28-05-2015,495,506.75,494.075012,503.575012,420.432526,421436
29-05-2015,504.25,513.375,500.9375,505.600006,422.123199,746392
01-06-2015,507.5,515.75,505.825012,511.424988,426.98642,316300
02-06-2015,511.25,513.700012,501.274994,502.200012,419.284454,555136
03-06-2015,505,515,502.0625,505.774994,422.269196,696708
04-06-2015,507.75,514.150024,503.587494,507.012512,423.30249,345768
05-06-2015,509.75,511,502.287506,503.024994,419.973267,479684
08-06-2015,503,505.0625,497.5,500.0625,417.499939,224292
09-06-2015,503.25,503.25,496.274994,498.137512,415.892792,651432
10-06-2015,502.5,509.924988,496.5,506.549988,422.916229,424344
11-06-2015,508.75,511.25,499.262512,500.462494,417.833832,876372
12-06-2015,500.5,506.125,488.875,494.162506,412.574036,1457624
15-06-2015,490,499.424988,484.25,495.549988,420.00061,705134
16-06-2015,497,501,492.5,499.725006,423.539124,249144
17-06-2015,503.5,510.200012,496.649994,497.899994,421.992371,401368
18-06-2015,500.125,502.975006,498,500.450012,424.153625,196586
19-06-2015,502.5,505.149994,496.25,498.375,422.394897,211216
22-06-2015,504.5,514.400024,498.75,512.200012,434.112274,379194
23-06-2015,512.5,514,499.549988,500.575012,424.259583,439428
24-06-2015,505,506.700012,495.799988,497.549988,421.695709,303674
25-06-2015,500,501.5,493.924988,495.575012,420.021851,375776
26-06-2015,497.5,505.875,497.5,503.049988,426.357147,354312
29-06-2015,494,499.5,490,495.125,419.640442,429556
30-06-2015,496.5,496.5,491.549988,492.674988,417.563995,261804
01-07-2015,495,500,493.075012,498.850006,422.797577,184536
02-07-2015,500,500.200012,492.575012,494.075012,418.750488,247628
03-07-2015,493.5,496.5,491.774994,494.975006,419.513275,194282
06-07-2015,490,494.125,487.75,491.75,416.779968,275000
07-07-2015,495,495.375,490.024994,491.024994,416.165466,173050
08-07-2015,492.5,492.5,477.5,478.600006,405.634766,670570
09-07-2015,480,483.475006,467,468.850006,397.371185,651170
10-07-2015,475,475.924988,466.274994,468.5,397.074585,308046
13-07-2015,470,477.225006,467.049988,475.024994,402.604767,398782
14-07-2015,477.5,486.799988,472.674988,485.049988,411.10144,536338
15-07-2015,485.950012,492.600006,484.5,491.325012,416.4198,270028
