Date,Open,High,Low,Close,Adj Close,Volume
2015-01-29,67.300003,67.980003,65.690002,67.029999,67.029999,1716
2015-01-30,69.269997,69.269997,68.889999,68.889999,68.889999,560
2015-02-02,67.639999,67.639999,66.000000,66.070000,66.070000,429
2015-02-03,66.339996,66.500000,66.269997,66.470001,66.470001,128
2015-02-04,65.309998,66.089996,65.309998,66.089996,66.089996,230
2015-02-05,66.139999,66.449997,66.089996,66.089996,66.089996,100
2015-02-06,65.730003,66.279999,65.730003,66.279999,66.279999,567
2015-02-09,65.449997,65.459999,65.449997,65.459999,65.459999,132
2015-02-10,65.589996,66.260002,65.589996,66.260002,66.260002,183
2015-02-11,66.150002,67.650002,66.150002,67.650002,67.650002,115
2015-02-12,68.010002,68.180000,67.550003,68.180000,68.180000,230
2015-02-13,66.430000,67.010002,66.430000,67.010002,67.010002,160
2015-02-16,66.209999,66.459999,66.120003,66.459999,66.459999,450
2015-02-17,66.400002,66.459999,66.400002,66.400002,66.400002,170
2015-02-18,66.089996,66.650002,66.089996,66.349998,66.349998,600
2015-02-19,67.290001,68.470001,67.290001,68.470001,68.470001,165
2015-02-20,70.239998,70.239998,69.809998,70.129997,70.129997,535
2015-02-23,70.129997,70.660004,69.900002,69.900002,69.900002,700
2015-02-24,69.500000,69.860001,69.500000,69.500000,69.500000,2180
2015-02-25,68.879997,69.500000,68.879997,69.500000,69.500000,130
2015-02-26,69.900002,72.129997,69.900002,71.839996,71.839996,313
2015-02-27,71.739998,71.739998,71.699997,71.699997,71.699997,300
2015-03-02,70.620003,70.650002,70.620003,70.650002,70.650002,256
2015-03-03,70.870003,70.900002,70.040001,70.550003,70.550003,206
2015-03-04,70.919998,72.099998,70.919998,72.099998,72.099998,41
2015-03-05,73.080002,74.220001,73.080002,73.610001,73.610001,611
2015-03-06,74.040001,74.199997,73.959999,74.199997,74.199997,120
2015-03-09,74.199997,74.199997,72.639999,72.639999,72.639999,56
2015-03-10,73.599998,73.599998,73.300003,73.300003,73.300003,107
2015-03-11,72.629997,73.889999,72.629997,73.889999,73.889999,80
2015-03-12,74.000000,74.110001,73.300003,74.110001,74.110001,459
2015-03-13,74.320000,74.639999,74.320000,74.440002,74.440002,150
2015-03-16,74.750000,74.750000,73.339996,73.339996,73.339996,77
2015-03-17,73.900002,74.300003,73.459999,74.300003,74.300003,714
2015-03-18,74.940002,75.510002,74.809998,75.510002,75.510002,1027
2015-03-19,74.639999,77.529999,74.639999,77.519997,77.519997,290
2015-03-20,78.279999,78.279999,78.279999,78.279999,78.279999,12
2015-03-23,77.279999,77.570000,77.279999,77.570000,77.570000,132
2015-03-24,76.970001,77.500000,76.970001,77.500000,77.500000,30
2015-03-25,78.169998,78.169998,75.930000,75.930000,75.930000,107
2015-03-26,76.199997,76.199997,73.900002,76.190002,76.190002,605
2015-03-27,76.279999,76.900002,76.279999,76.739998,76.739998,140
2015-03-30,76.769997,76.769997,76.529999,76.720001,76.720001,100
2015-03-31,76.750000,77.510002,76.750000,77.510002,77.510002,13
2015-04-01,75.870003,76.720001,75.769997,75.769997,75.769997,29
2015-04-02,75.930000,75.930000,75.260002,75.489998,75.489998,54
2015-04-07,75.800003,76.800003,75.779999,76.800003,76.800003,143
2015-04-08,75.709999,76.180000,75.709999,76.180000,76.180000,41
2015-04-09,76.300003,76.300003,76.300003,76.300003,76.300003,0
2015-04-10,77.290001,77.510002,77.099998,77.440002,77.440002,185
2015-04-13,77.690002,78.360001,77.690002,78.360001,78.360001,19
2015-04-14,78.720001,79.000000,78.720001,78.949997,78.949997,148
2015-04-15,78.690002,79.099998,78.690002,79.089996,79.089996,86
2015-04-16,77.419998,77.419998,77.419998,77.419998,77.419998,0
2015-04-17,76.349998,76.650002,74.599998,74.599998,74.599998,593
2015-04-20,75.370003,75.370003,75.370003,75.370003,75.370003,33
2015-04-21,77.620003,78.860001,77.620003,78.860001,78.860001,24
2015-04-22,78.190002,78.839996,78.190002,78.800003,78.800003,200
2015-04-23,77.110001,78.720001,77.110001,78.449997,78.449997,200
2015-04-24,76.550003,76.550003,76.269997,76.269997,76.269997,60
2015-04-27,75.389999,75.430000,75.190002,75.190002,75.190002,248
2015-04-28,75.660004,75.660004,73.589996,74.019997,74.019997,759
2015-04-29,74.160004,74.160004,72.800003,73.290001,73.290001,724
